District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
WHEATBELT DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Deprivation of Liberty,2007-04-01,2007,April,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
ARMADALE DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,1,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0004028505706378333
ARMADALE DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,2,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0008057011412756667
CANNINGTON DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,3,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0013735571926322392
CANNINGTON DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,2,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0009157047950881594
FREMANTLE DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,1,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.00035701662626428515
FREMANTLE DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,3,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0010710498787928555
GOLDFIELDS-ESPERANCE DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,1,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0018980734554427255
GREAT SOUTHERN DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,1,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.001200048001920077
JOONDALUP DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,0,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0
JOONDALUP DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,3,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0008127570344121329
KIMBERLEY DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
KIMBERLEY DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
MANDURAH DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,1,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.000344923927027894
MANDURAH DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,5,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.00172461963513947
MID WEST-GASCOYNE DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,2,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.003291585062786985
MIDLAND DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,1,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.00039856198834604744
MIDLAND DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,2,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0007971239766920949
MIRRABOOKA DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,0,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0
MIRRABOOKA DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,2,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0006764709861594036
PERTH DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,1,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0007190261509811112
PERTH DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,4,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0028761046039244447
PILBARA DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,2,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.003628512854006785
SOUTH WEST DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
SOUTH WEST DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,1,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0005298181664052897
WHEATBELT DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Deprivation of Liberty,2007-05-01,2007,May,2,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0035754509537515417
ARMADALE DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
ARMADALE DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,1,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0004028505706378333
CANNINGTON DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,1,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0004578523975440797
CANNINGTON DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,5,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0022892619877203984
FREMANTLE DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
FREMANTLE DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,1,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.00035701662626428515
GOLDFIELDS-ESPERANCE DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,1,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0018980734554427255
GOLDFIELDS-ESPERANCE DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,2,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.003796146910885451
GREAT SOUTHERN DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0
JOONDALUP DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0
KIMBERLEY DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
KIMBERLEY DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,3,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.008548957027242676
MANDURAH DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.0
MANDURAH DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,2,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.000689847854055788
MID WEST-GASCOYNE DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MIDLAND DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0
MIDLAND DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,4,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0015942479533841898
MIRRABOOKA DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0
MIRRABOOKA DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,2,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0006764709861594036
PERTH DISTRICT,Deprivation of Liberty,2007-06-01,2007,June,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
