District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
WHEATBELT DISTRICT,Stealing of Motor Vehicle,2007-06-01,2007,June,16,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.028603607630012334
ARMADALE DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,47,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.018933976819978167
CANNINGTON DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,77,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.03525463461089414
FREMANTLE DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,65,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.023206080707178535
GOLDFIELDS-ESPERANCE DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,15,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.028471101831640883
GREAT SOUTHERN DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,11,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.013200528021120846
JOONDALUP DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,55,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.014900545630889103
KIMBERLEY DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,22,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.06269235153311296
MANDURAH DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,66,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.022764979183841003
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,9,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.014812132782541433
MIDLAND DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,72,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.02869646316091542
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,67,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.022661778036340022
PERTH DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,36,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.025884941435320004
PILBARA DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,14,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.025399589978047494
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,29,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.015364726825753402
WHEATBELT DISTRICT,Stealing of Motor Vehicle,2007-07-01,2007,July,12,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.021452705722509253
ARMADALE DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,51,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.020545379102529498
CANNINGTON DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,88,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.040291010983879015
FREMANTLE DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,70,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.02499116383849996
GOLDFIELDS-ESPERANCE DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,17,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.03226724874252634
GREAT SOUTHERN DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,15,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.018000720028801154
JOONDALUP DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,54,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.014629626619418391
KIMBERLEY DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,25,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.07124130856035564
MANDURAH DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,57,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.019660663840589957
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,13,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.021395302908115404
MIDLAND DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,48,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.01913097544061028
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,71,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.02401472000865883
PERTH DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,28,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.020132732227471112
PILBARA DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,17,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.03084235925905767
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,15,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.007947272496079346
