District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
JOONDALUP DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,2,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0005418380229414219
JOONDALUP DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0
KIMBERLEY DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,9,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.02564687108172803
KIMBERLEY DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,3,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.008548957027242676
MANDURAH DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,9,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.003104315343251046
MANDURAH DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,2,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.000689847854055788
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,1,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0016457925313934924
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,3,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.004937377594180477
MIDLAND DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,4,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0015942479533841898
MIDLAND DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0
MIRRABOOKA DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,4,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0013529419723188071
MIRRABOOKA DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,1,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0003382354930797018
PERTH DISTRICT,Threatening Behaviour (Family),2007-03-01,2007,March,2,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0014380523019622224
