District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),2007-03-01,2007,March,46,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.08731137895036538
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),2007-03-01,2007,March,11,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.020878808009869982
GREAT SOUTHERN DISTRICT,Assault (Non-Family),2007-03-01,2007,March,4,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.004800192007680308
GREAT SOUTHERN DISTRICT,Assault (Non-Family),2007-03-01,2007,March,13,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.015600624024960999
GREAT SOUTHERN DISTRICT,Assault (Non-Family),2007-03-01,2007,March,1,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.001200048001920077
JOONDALUP DISTRICT,Assault (Non-Family),2007-03-01,2007,March,34,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.009211246390004172
JOONDALUP DISTRICT,Assault (Non-Family),2007-03-01,2007,March,77,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.020860763883244742
JOONDALUP DISTRICT,Assault (Non-Family),2007-03-01,2007,March,2,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0005418380229414219
KIMBERLEY DISTRICT,Assault (Non-Family),2007-03-01,2007,March,36,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.10258748432691212
KIMBERLEY DISTRICT,Assault (Non-Family),2007-03-01,2007,March,28,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0797902655875983
KIMBERLEY DISTRICT,Assault (Non-Family),2007-03-01,2007,March,15,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.04274478513621338
MANDURAH DISTRICT,Assault (Non-Family),2007-03-01,2007,March,24,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.008278174248669456
MANDURAH DISTRICT,Assault (Non-Family),2007-03-01,2007,March,74,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.025524370600064156
MANDURAH DISTRICT,Assault (Non-Family),2007-03-01,2007,March,5,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.00172461963513947
MID WEST-GASCOYNE DISTRICT,Assault (Non-Family),2007-03-01,2007,March,22,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.03620743569065683
MID WEST-GASCOYNE DISTRICT,Assault (Non-Family),2007-03-01,2007,March,56,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.09216438175803558
MID WEST-GASCOYNE DISTRICT,Assault (Non-Family),2007-03-01,2007,March,8,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.01316634025114794
MIDLAND DISTRICT,Assault (Non-Family),2007-03-01,2007,March,24,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.00956548772030514
MIDLAND DISTRICT,Assault (Non-Family),2007-03-01,2007,March,64,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.025507967254147036
MIDLAND DISTRICT,Assault (Non-Family),2007-03-01,2007,March,0,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.0
MIRRABOOKA DISTRICT,Assault (Non-Family),2007-03-01,2007,March,32,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.010823535778550457
MIRRABOOKA DISTRICT,Assault (Non-Family),2007-03-01,2007,March,86,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.029088252404854357
MIRRABOOKA DISTRICT,Assault (Non-Family),2007-03-01,2007,March,8,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.0027058839446376143
PERTH DISTRICT,Assault (Non-Family),2007-03-01,2007,March,59,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.04242254290788556
