District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
JOONDALUP DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,10,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0027091901147071095
JOONDALUP DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,12,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0032510281376485315
KIMBERLEY DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,0,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0
KIMBERLEY DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,2,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0056993046848284505
MANDURAH DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,2,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.000689847854055788
MANDURAH DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,3,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.001034771781083682
MID WEST-GASCOYNE DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,4,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.00658317012557397
MID WEST-GASCOYNE DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,2,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.003291585062786985
MIDLAND DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,11,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.004384181871806522
MIDLAND DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,5,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.0019928099417302375
MIRRABOOKA DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,13,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.004397061410036124
MIRRABOOKA DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,7,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.0023676484515579126
PERTH DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,14,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.010066366113735556
PERTH DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,8,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.0057522092078488895
PILBARA DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,2,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.003628512854006785
PILBARA DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0
SOUTH WEST DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,13,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.006887636163268766
SOUTH WEST DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,5,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.0026490908320264484
WHEATBELT DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,2,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0035754509537515417
WHEATBELT DISTRICT,Receiving and Possession of Stolen Property,2007-05-01,2007,May,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0
ARMADALE DISTRICT,Receiving and Possession of Stolen Property,2007-06-01,2007,June,8,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0032228045651026666
