District,Crime,Region,State,Population,Count,Count_Per_100
KIMBERLEY DISTRICT,Recent Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,2671,7.611421406588396
JOONDALUP DISTRICT,Fraud & Related Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,27951,7.572457289617842
KIMBERLEY DISTRICT,Threatening Behaviour (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,2657,7.571526273794596
ARMADALE DISTRICT,Breach of Violence Restraint Order,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,18415,7.4184932582957
PERTH DISTRICT,Assault (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,10284,7.394464936689747
GOLDFIELDS-ESPERANCE DISTRICT,Stealing of Motor Vehicle,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,3883,7.370219227484103
MIDLAND DISTRICT,Assault (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,17939,7.149803508939746
ARMADALE DISTRICT,Assault (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,17732,7.14334631855006
MANDURAH DISTRICT,Assault (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,20408,7.039207502785261
FREMANTLE DISTRICT,Assault (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,19381,6.9193392336281105
SOUTH WEST DISTRICT,Fraud & Related Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,12726,6.742465985673717
MANDURAH DISTRICT,Breach of Violence Restraint Order,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,19350,6.674277987989749
CANNINGTON DISTRICT,Stealing of Motor Vehicle,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,14577,6.67411439900005
GREAT SOUTHERN DISTRICT,Breach of Violence Restraint Order,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,5505,6.606264250570023
FREMANTLE DISTRICT,Assault (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,18386,6.564107690495147
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,3977,6.54531689735192
WHEATBELT DISTRICT,Breach of Violence Restraint Order,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,3632,6.4930189320128004
SOUTH WEST DISTRICT,Assault (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,11865,6.286292544398762
JOONDALUP DISTRICT,Assault (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,22838,6.187248383968097
MIRRABOOKA DISTRICT,Assault (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,18073,6.112930066429451
SOUTH WEST DISTRICT,Breach of Violence Restraint Order,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,11317,5.995952189208664
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,3629,5.9725810964269845
PERTH DISTRICT,Receiving and Possession of Stolen Property,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,7721,5.55160091172516
MIDLAND DISTRICT,Breach of Violence Restraint Order,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,13828,5.511315174849145
CANNINGTON DISTRICT,Breach of Violence Restraint Order,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,11918,5.456684873930342
MIRRABOOKA DISTRICT,Breach of Violence Restraint Order,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,15878,5.370503159119505
PERTH DISTRICT,Stealing of Motor Vehicle,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,7400,5.320793517260223
MIDLAND DISTRICT,Graffiti,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,12647,5.040613466612462
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,2975,4.89623278089564
FREMANTLE DISTRICT,Stealing of Motor Vehicle,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,13567,4.843644568527557
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,2536,4.813514283002752
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,14224,4.8110616535656785
PERTH DISTRICT,Breach of Violence Restraint Order,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,6675,4.799499557798917
JOONDALUP DISTRICT,Breach of Violence Restraint Order,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,17592,4.7660072497927475
KIMBERLEY DISTRICT,Historical Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,1670,4.758919411831756
ARMADALE DISTRICT,Stealing of Motor Vehicle,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,11578,4.664203906844834
