District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
FREMANTLE DISTRICT,Arson,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
FREMANTLE DISTRICT,Arson,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Arson,2007-03-01,2007,March,7,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.013286514188099079
GOLDFIELDS-ESPERANCE DISTRICT,Arson,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Arson,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GREAT SOUTHERN DISTRICT,Arson,2007-03-01,2007,March,2,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.002400096003840154
GREAT SOUTHERN DISTRICT,Arson,2007-03-01,2007,March,1,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.001200048001920077
GREAT SOUTHERN DISTRICT,Arson,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Arson,2007-03-01,2007,March,4,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0010836760458828437
JOONDALUP DISTRICT,Arson,2007-03-01,2007,March,3,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0008127570344121329
JOONDALUP DISTRICT,Arson,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0
KIMBERLEY DISTRICT,Arson,2007-03-01,2007,March,5,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.014248261712071126
KIMBERLEY DISTRICT,Arson,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
KIMBERLEY DISTRICT,Arson,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
MANDURAH DISTRICT,Arson,2007-03-01,2007,March,7,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.002414467489195258
MANDURAH DISTRICT,Arson,2007-03-01,2007,March,2,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.000689847854055788
MANDURAH DISTRICT,Arson,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.0
MID WEST-GASCOYNE DISTRICT,Arson,2007-03-01,2007,March,3,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.004937377594180477
MID WEST-GASCOYNE DISTRICT,Arson,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Arson,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MIDLAND DISTRICT,Arson,2007-03-01,2007,March,10,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.003985619883460475
MIDLAND DISTRICT,Arson,2007-03-01,2007,March,6,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.002391371930076285
MIDLAND DISTRICT,Arson,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0
MIRRABOOKA DISTRICT,Arson,2007-03-01,2007,March,5,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.001691177465398509
MIRRABOOKA DISTRICT,Arson,2007-03-01,2007,March,1,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0003382354930797018
MIRRABOOKA DISTRICT,Arson,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0
PERTH DISTRICT,Arson,2007-03-01,2007,March,2,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0014380523019622224
PERTH DISTRICT,Arson,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
PERTH DISTRICT,Arson,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
PILBARA DISTRICT,Arson,2007-03-01,2007,March,5,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.009071282135016963
PILBARA DISTRICT,Arson,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Arson,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
