District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
MIDLAND DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,9,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0035870578951144273
MIDLAND DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,14,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.005579867836844664
MIRRABOOKA DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,10,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.003382354930797018
MIRRABOOKA DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,6,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.002029412958478211
PERTH DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,21,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.015099549170603336
PERTH DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,10,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.007190261509811112
PILBARA DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,1,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0018142564270033925
SOUTH WEST DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,7,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.003708727164837028
SOUTH WEST DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,3,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.001589454499215869
WHEATBELT DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,8,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.014301803815006167
WHEATBELT DISTRICT,Threatening Behaviour (Non-Family),2007-05-01,2007,May,1,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0017877254768757709
ARMADALE DISTRICT,Threatening Behaviour (Non-Family),2007-06-01,2007,June,18,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0072513102714809995
ARMADALE DISTRICT,Threatening Behaviour (Non-Family),2007-06-01,2007,June,3,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0012085517119135
CANNINGTON DISTRICT,Threatening Behaviour (Non-Family),2007-06-01,2007,June,13,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.005952081168073036
CANNINGTON DISTRICT,Threatening Behaviour (Non-Family),2007-06-01,2007,June,8,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0036628191803526377
FREMANTLE DISTRICT,Threatening Behaviour (Non-Family),2007-06-01,2007,June,6,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.002142099757585711
FREMANTLE DISTRICT,Threatening Behaviour (Non-Family),2007-06-01,2007,June,5,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0017850831313214258
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Non-Family),2007-06-01,2007,June,3,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.005694220366328177
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Non-Family),2007-06-01,2007,June,4,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.007592293821770902
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Non-Family),2007-06-01,2007,June,2,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.002400096003840154
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Non-Family),2007-06-01,2007,June,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Threatening Behaviour (Non-Family),2007-06-01,2007,June,8,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0021673520917656875
JOONDALUP DISTRICT,Threatening Behaviour (Non-Family),2007-06-01,2007,June,16,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.004334704183531375
