District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
GOLDFIELDS-ESPERANCE DISTRICT,Property Damage,2007-12-01,2007,December,30,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.05694220366328177
GOLDFIELDS-ESPERANCE DISTRICT,Property Damage,2007-12-01,2007,December,112,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.21258422700958526
GREAT SOUTHERN DISTRICT,Property Damage,2007-12-01,2007,December,13,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.015600624024960999
GREAT SOUTHERN DISTRICT,Property Damage,2007-12-01,2007,December,92,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.11040441617664708
JOONDALUP DISTRICT,Property Damage,2007-12-01,2007,December,45,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.012191355516181992
JOONDALUP DISTRICT,Property Damage,2007-12-01,2007,December,317,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.08588132663621537
KIMBERLEY DISTRICT,Property Damage,2007-12-01,2007,December,18,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.05129374216345606
KIMBERLEY DISTRICT,Property Damage,2007-12-01,2007,December,83,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.2365211444203807
MANDURAH DISTRICT,Property Damage,2007-12-01,2007,December,23,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.007933250321641562
MANDURAH DISTRICT,Property Damage,2007-12-01,2007,December,289,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.09968301491106137
MID WEST-GASCOYNE DISTRICT,Property Damage,2007-12-01,2007,December,10,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.016457925313934925
MID WEST-GASCOYNE DISTRICT,Property Damage,2007-12-01,2007,December,186,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.3061174108391896
MIDLAND DISTRICT,Property Damage,2007-12-01,2007,December,29,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.011558297662035377
