District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
WHEATBELT DISTRICT,Graffiti,2007-10-01,2007,October,8,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.014301803815006167
ARMADALE DISTRICT,Graffiti,2007-11-01,2007,November,242,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.09748983809435566
CANNINGTON DISTRICT,Graffiti,2007-11-01,2007,November,49,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.022434767479659907
FREMANTLE DISTRICT,Graffiti,2007-11-01,2007,November,47,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.016779781434421402
GOLDFIELDS-ESPERANCE DISTRICT,Graffiti,2007-11-01,2007,November,7,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.013286514188099079
GREAT SOUTHERN DISTRICT,Graffiti,2007-11-01,2007,November,10,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.012000480019200769
JOONDALUP DISTRICT,Graffiti,2007-11-01,2007,November,189,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.05120369316796437
KIMBERLEY DISTRICT,Graffiti,2007-11-01,2007,November,12,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.034195828108970705
MANDURAH DISTRICT,Graffiti,2007-11-01,2007,November,99,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.034147468775761504
MID WEST-GASCOYNE DISTRICT,Graffiti,2007-11-01,2007,November,20,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.03291585062786985
MIDLAND DISTRICT,Graffiti,2007-11-01,2007,November,175,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.0697483479605583
MIRRABOOKA DISTRICT,Graffiti,2007-11-01,2007,November,242,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.08185298932528784
PERTH DISTRICT,Graffiti,2007-11-01,2007,November,72,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.05176988287064001
PILBARA DISTRICT,Graffiti,2007-11-01,2007,November,10,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.018142564270033926
SOUTH WEST DISTRICT,Graffiti,2007-11-01,2007,November,28,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.014834908659348112
WHEATBELT DISTRICT,Graffiti,2007-11-01,2007,November,13,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.02324043119938502
ARMADALE DISTRICT,Graffiti,2007-12-01,2007,December,153,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0616361373075885
CANNINGTON DISTRICT,Graffiti,2007-12-01,2007,December,73,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.03342322502071782
FREMANTLE DISTRICT,Graffiti,2007-12-01,2007,December,36,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.012852598545514266
GOLDFIELDS-ESPERANCE DISTRICT,Graffiti,2007-12-01,2007,December,5,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.009490367277213628
GREAT SOUTHERN DISTRICT,Graffiti,2007-12-01,2007,December,14,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.016800672026881076
JOONDALUP DISTRICT,Graffiti,2007-12-01,2007,December,175,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.047410827007374416
KIMBERLEY DISTRICT,Graffiti,2007-12-01,2007,December,6,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.017097914054485353
MANDURAH DISTRICT,Graffiti,2007-12-01,2007,December,103,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.03552716448387308
MID WEST-GASCOYNE DISTRICT,Graffiti,2007-12-01,2007,December,9,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.014812132782541433
MIDLAND DISTRICT,Graffiti,2007-12-01,2007,December,176,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.07014690994890435
MIRRABOOKA DISTRICT,Graffiti,2007-12-01,2007,December,179,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.06054415326126662
PERTH DISTRICT,Graffiti,2007-12-01,2007,December,613,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.4407630305514212
PILBARA DISTRICT,Graffiti,2007-12-01,2007,December,9,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.01632830784303053
SOUTH WEST DISTRICT,Graffiti,2007-12-01,2007,December,21,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.011126181494511084
WHEATBELT DISTRICT,Graffiti,2007-12-01,2007,December,9,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.016089529291881937
